incident_id,attack_type,affected_system,severity,indicators,description,response_taken,attack_techniques,source_type,combined_text
INC001,Phishing,Email Server,High,suspicious login link; spoofed sender; credential submission,Employees received a fraudulent password-reset email that redirected them to a fake authentication page. One employee entered their credentials.,"Blocked the malicious domain, reset affected credentials, reviewed authentication logs, and searched for additional affected accounts.",Phishing; Credential Access,SYNTHETIC_DEMO,"Incident ID: INC001. Attack Type: Phishing. Affected System: Email Server. Severity: High. Indicators: suspicious login link; spoofed sender; credential submission. Description: Employees received a fraudulent password-reset email that redirected them to a fake authentication page. One employee entered their credentials.. Response Taken: Blocked the malicious domain, reset affected credentials, reviewed authentication logs, and searched for additional affected accounts.. Attack Techniques: Phishing; Credential Access"
INC002,Brute Force,Authentication Server,High,multiple failed logins; repeated source IP; account lockouts,An external source generated repeated password attempts against several employee accounts over a short period.,"Blocked the source IP, enabled account lockout controls, reviewed authentication logs, and enforced stronger passwords.",Credential Access; Brute Force,SYNTHETIC_DEMO,"Incident ID: INC002. Attack Type: Brute Force. Affected System: Authentication Server. Severity: High. Indicators: multiple failed logins; repeated source IP; account lockouts. Description: An external source generated repeated password attempts against several employee accounts over a short period.. Response Taken: Blocked the source IP, enabled account lockout controls, reviewed authentication logs, and enforced stronger passwords.. Attack Techniques: Credential Access; Brute Force"
INC003,Ransomware,File Server,Critical,encrypted files; ransom note; inaccessible documents,Multiple shared files became inaccessible after unauthorized encryption activity was detected on the internal file server.,"Isolated the affected server, stopped suspicious activity, preserved evidence, and restored files from a clean backup.",Impact; Data Encrypted for Impact,SYNTHETIC_DEMO,"Incident ID: INC003. Attack Type: Ransomware. Affected System: File Server. Severity: Critical. Indicators: encrypted files; ransom note; inaccessible documents. Description: Multiple shared files became inaccessible after unauthorized encryption activity was detected on the internal file server.. Response Taken: Isolated the affected server, stopped suspicious activity, preserved evidence, and restored files from a clean backup.. Attack Techniques: Impact; Data Encrypted for Impact"
INC004,SQL Injection,Web Application,High,malicious input; database errors; abnormal queries,A web application received crafted input through a form that caused unexpected database queries and error messages.,"Blocked malicious requests, disabled the vulnerable endpoint temporarily, corrected input validation, and reviewed database logs.",Initial Access; Exploitation for Client Execution,SYNTHETIC_DEMO,"Incident ID: INC004. Attack Type: SQL Injection. Affected System: Web Application. Severity: High. Indicators: malicious input; database errors; abnormal queries. Description: A web application received crafted input through a form that caused unexpected database queries and error messages.. Response Taken: Blocked malicious requests, disabled the vulnerable endpoint temporarily, corrected input validation, and reviewed database logs.. Attack Techniques: Initial Access; Exploitation for Client Execution"
INC005,DDoS,Web Server,Critical,traffic spike; request flood; service disruption,A public web server received an unusually large volume of automated requests that caused service degradation.,"Activated traffic filtering, applied rate limiting, monitored traffic patterns, and restored normal service.",Impact; Network Denial of Service,SYNTHETIC_DEMO,"Incident ID: INC005. Attack Type: DDoS. Affected System: Web Server. Severity: Critical. Indicators: traffic spike; request flood; service disruption. Description: A public web server received an unusually large volume of automated requests that caused service degradation.. Response Taken: Activated traffic filtering, applied rate limiting, monitored traffic patterns, and restored normal service.. Attack Techniques: Impact; Network Denial of Service"
INC006,Malware,Employee Laptop,High,unknown executable; unusual process; unexpected network connection,A suspicious executable was downloaded to an employee laptop and subsequently created unexpected processes and network connections.,"Isolated the laptop, collected relevant evidence, removed the malicious software, and scanned connected systems.",Execution; User Execution; Command and Control,SYNTHETIC_DEMO,"Incident ID: INC006. Attack Type: Malware. Affected System: Employee Laptop. Severity: High. Indicators: unknown executable; unusual process; unexpected network connection. Description: A suspicious executable was downloaded to an employee laptop and subsequently created unexpected processes and network connections.. Response Taken: Isolated the laptop, collected relevant evidence, removed the malicious software, and scanned connected systems.. Attack Techniques: Execution; User Execution; Command and Control"
INC007,Credential Stuffing,Authentication Server,High,repeated login attempts; reused credentials; multiple accounts targeted,Automated login attempts used previously compromised username and password combinations against multiple employee accounts.,"Forced password resets, blocked suspicious login sources, enabled multi-factor authentication, and reviewed account activity.",Credential Access; Valid Accounts,SYNTHETIC_DEMO,"Incident ID: INC007. Attack Type: Credential Stuffing. Affected System: Authentication Server. Severity: High. Indicators: repeated login attempts; reused credentials; multiple accounts targeted. Description: Automated login attempts used previously compromised username and password combinations against multiple employee accounts.. Response Taken: Forced password resets, blocked suspicious login sources, enabled multi-factor authentication, and reviewed account activity.. Attack Techniques: Credential Access; Valid Accounts"
INC008,Unauthorized Access,Database Server,Critical,unexpected privileged login; unusual access time; sensitive queries,An unfamiliar privileged account accessed a database outside its normal operating pattern and queried sensitive records.,"Disabled the account, revoked active sessions, preserved logs, reviewed privileged access, and investigated the accessed records.",Valid Accounts; Privilege Escalation,SYNTHETIC_DEMO,"Incident ID: INC008. Attack Type: Unauthorized Access. Affected System: Database Server. Severity: Critical. Indicators: unexpected privileged login; unusual access time; sensitive queries. Description: An unfamiliar privileged account accessed a database outside its normal operating pattern and queried sensitive records.. Response Taken: Disabled the account, revoked active sessions, preserved logs, reviewed privileged access, and investigated the accessed records.. Attack Techniques: Valid Accounts; Privilege Escalation"
INC009,Data Exfiltration,Database Server,Critical,large outbound transfer; unusual destination; abnormal database activity,A large volume of database records was transferred to an unfamiliar external destination.,"Blocked the external destination, disabled the affected account, reviewed network and database logs, and assessed potentially exposed information.",Collection; Exfiltration Over Web Service,SYNTHETIC_DEMO,"Incident ID: INC009. Attack Type: Data Exfiltration. Affected System: Database Server. Severity: Critical. Indicators: large outbound transfer; unusual destination; abnormal database activity. Description: A large volume of database records was transferred to an unfamiliar external destination.. Response Taken: Blocked the external destination, disabled the affected account, reviewed network and database logs, and assessed potentially exposed information.. Attack Techniques: Collection; Exfiltration Over Web Service"
INC010,Malicious Attachment,Email Server,High,suspicious attachment; macro activity; unusual process,An employee received an email containing a malicious attachment. Opening the attachment triggered suspicious activity on the workstation.,"Removed the message from mailboxes, isolated the affected workstation, blocked the sender, and performed malware analysis.",Initial Access; Phishing; User Execution,SYNTHETIC_DEMO,"Incident ID: INC010. Attack Type: Malicious Attachment. Affected System: Email Server. Severity: High. Indicators: suspicious attachment; macro activity; unusual process. Description: An employee received an email containing a malicious attachment. Opening the attachment triggered suspicious activity on the workstation.. Response Taken: Removed the message from mailboxes, isolated the affected workstation, blocked the sender, and performed malware analysis.. Attack Techniques: Initial Access; Phishing; User Execution"
