incident_id,attack_type,affected_system,severity,indicators,description,response_taken,attack_techniques,source_type
INC001,Phishing,Email Server,High,suspicious login link; spoofed sender; credential submission,Employees received a fraudulent password-reset email that redirected them to a fake authentication page. One employee entered their credentials.,"Blocked the malicious domain, reset affected credentials, reviewed authentication logs, and searched for additional affected accounts.",Phishing; Credential Access,SYNTHETIC_DEMO
INC002,Brute Force,Authentication Server,High,multiple failed logins; repeated source IP; account lockouts,An external source generated repeated password attempts against several employee accounts over a short period.,"Blocked the source IP, enabled account lockout controls, reviewed authentication logs, and enforced stronger passwords.",Credential Access; Brute Force,SYNTHETIC_DEMO
INC003,Ransomware,File Server,Critical,encrypted files; ransom note; inaccessible documents,Multiple shared files became inaccessible after unauthorized encryption activity was detected on the internal file server.,"Isolated the affected server, stopped suspicious activity, preserved evidence, and restored files from a clean backup.",Impact; Data Encrypted for Impact,SYNTHETIC_DEMO
INC004,SQL Injection,Web Application,High,malicious input; database errors; abnormal queries,A web application received crafted input through a form that caused unexpected database queries and error messages.,"Blocked malicious requests, disabled the vulnerable endpoint temporarily, corrected input validation, and reviewed database logs.",Initial Access; Exploitation for Client Execution,SYNTHETIC_DEMO
INC005,DDoS,Web Server,Critical,traffic spike; request flood; service disruption,A public web server received an unusually large volume of automated requests that caused service degradation.,"Activated traffic filtering, applied rate limiting, monitored traffic patterns, and restored normal service.",Impact; Network Denial of Service,SYNTHETIC_DEMO
INC006,Malware,Employee Laptop,High,unknown executable; unusual process; unexpected network connection,A suspicious executable was downloaded to an employee laptop and subsequently created unexpected processes and network connections.,"Isolated the laptop, collected relevant evidence, removed the malicious software, and scanned connected systems.",Execution; User Execution; Command and Control,SYNTHETIC_DEMO
INC007,Credential Stuffing,Authentication Server,High,repeated login attempts; reused credentials; multiple accounts targeted,Automated login attempts used previously compromised username and password combinations against multiple employee accounts.,"Forced password resets, blocked suspicious login sources, enabled multi-factor authentication, and reviewed account activity.",Credential Access; Valid Accounts,SYNTHETIC_DEMO
INC008,Unauthorized Access,Database Server,Critical,unexpected privileged login; unusual access time; sensitive queries,An unfamiliar privileged account accessed a database outside its normal operating pattern and queried sensitive records.,"Disabled the account, revoked active sessions, preserved logs, reviewed privileged access, and investigated the accessed records.",Valid Accounts; Privilege Escalation,SYNTHETIC_DEMO
INC009,Data Exfiltration,Database Server,Critical,large outbound transfer; unusual destination; abnormal database activity,A large volume of database records was transferred to an unfamiliar external destination.,"Blocked the external destination, disabled the affected account, reviewed network and database logs, and assessed potentially exposed information.",Collection; Exfiltration Over Web Service,SYNTHETIC_DEMO
INC010,Malicious Attachment,Email Server,High,suspicious attachment; macro activity; unusual process,An employee received an email containing a malicious attachment. Opening the attachment triggered suspicious activity on the workstation.,"Removed the message from mailboxes, isolated the affected workstation, blocked the sender, and performed malware analysis.",Initial Access; Phishing; User Execution,SYNTHETIC_DEMO
INC011,VPN Attack,VPN Server,Medium,repeated VPN failures; unfamiliar source; authentication anomalies,A remote source repeatedly attempted to authenticate to the organization's VPN service using different account names.,"Blocked the source, enabled stronger authentication controls, reviewed VPN logs, and checked targeted accounts.",Initial Access; External Remote Services,SYNTHETIC_DEMO
INC012,Insider Threat,File Server,High,unusual file access; large file copy; after-hours activity,A user account accessed and copied an unusually large number of sensitive files outside its normal working pattern.,"Suspended the account temporarily, preserved relevant logs, reviewed access history, and investigated the transferred files.",Collection; Data from Local System,SYNTHETIC_DEMO
INC013,Web Defacement,Web Server,Medium,unexpected page modification; unauthorized files; altered website,The organization's public website was modified without authorization and displayed content that was not part of the approved site.,"Removed unauthorized changes, restored the website from a trusted version, reviewed access logs, and patched the vulnerable component.",Impact; Defacement,SYNTHETIC_DEMO
INC014,Cloud Account Compromise,Cloud Platform,High,unusual cloud login; new access key; unexpected resource activity,An employee's cloud account showed an unusual login followed by creation of a new access credential and unexpected resource activity.,"Revoked active sessions and credentials, reset the account, reviewed cloud audit logs, and checked for unauthorized resources.",Valid Accounts; Account Manipulation,SYNTHETIC_DEMO
INC015,Privilege Escalation,Application Server,Critical,unexpected administrator privileges; permission change; suspicious process,A compromised user account obtained elevated privileges on an application server and attempted to access restricted resources.,"Disabled the affected account, removed unauthorized privileges, isolated the server, and reviewed privilege and process logs.",Privilege Escalation; Exploitation for Privilege Escalation,SYNTHETIC_DEMO
INC016,Lateral Movement,Internal Network,High,multiple host connections; unusual administrative activity; new remote sessions,"After an initial workstation compromise, suspicious authentication activity was detected across several internal systems.","Isolated affected hosts, disabled compromised accounts, reviewed authentication paths, and investigated additional systems.",Lateral Movement; Remote Services; Valid Accounts,SYNTHETIC_DEMO
INC017,Data Breach,Customer Database,Critical,unauthorized database access; sensitive records; abnormal queries,Unauthorized access to a customer database was detected and investigation indicated that sensitive customer information may have been accessed.,"Restricted database access, preserved evidence, reviewed audit logs, identified affected records, and initiated the organization's incident response process.",Collection; Data from Information Repositories,SYNTHETIC_DEMO
INC018,Supply Chain Compromise,Software Development Environment,Critical,unexpected software update; suspicious code; compromised dependency,A software dependency used by the development environment was found to contain unauthorized changes that could affect applications using it.,"Removed the affected dependency, reviewed build artifacts, checked software integrity, and restricted the compromised component.",Supply Chain Compromise; Trusted Relationship,SYNTHETIC_DEMO
INC019,Account Takeover,User Account,High,password reset request; unfamiliar login; changed account settings,A user reported unexpected password-reset notifications followed by a login from an unfamiliar location and changes to account settings.,"Reset the password, revoked active sessions, enabled multi-factor authentication, reviewed account activity, and restored legitimate settings.",Credential Access; Valid Accounts; Account Manipulation,SYNTHETIC_DEMO
INC020,Multi Stage Attack,Corporate Network,Critical,phishing email; compromised account; internal access; data transfer,"An attacker initially targeted an employee through phishing, obtained account access, moved to an internal system, and attempted to transfer sensitive information.","Isolated affected systems, disabled compromised accounts, reviewed the attack path, blocked suspicious communication, preserved evidence, and initiated recovery procedures.",Phishing; Valid Accounts; Lateral Movement; Exfiltration,SYNTHETIC_DEMO
